Institute Name,Program Name,State/All India Seats,Seat Pool,OPEN,OPEN-PwD,GEN-EWS,GEN-EWS-PwD,SC,SC-PwD,ST,ST-PwD,OBC-NCL,OBC-NCL-PwD,Total (includes Female Supernumerary),Program-Total  Seat Capacity  Female Supernumerary
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,1,0,0,2,0,1,0,4,1,"14 (including ""12"" Supernumerary)",68 12
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,1,6,1,9,1,4,1,17,1,66,69 11
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,1,1,0,2,0,1,0,4,0,"14 (including ""11"" Supernumerary)",69 11
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,28,2,7,1,10,1,4,1,19,1,74,77 13
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,1,1,1,1,0,0,1,4,1,"16 (including ""13"" Supernumerary)",77 13
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,1,4,0,6,0,3,0,9,0,36,41 3
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""3"" Supernumerary)",41 3
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,1,4,0,5,0,3,0,9,0,36,36 8
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""8"" Supernumerary)",36 8
Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,30,2,8,1,12,1,5,1,21,1,82,84 15
Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,1,1,1,1,1,0,0,4,1,"17 (including ""15"" Supernumerary)",84 15
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,1,5,1,6,1,4,0,13,1,51,55 7
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,"11 (including ""7"" Supernumerary)",55 7
Indian Institute of Technology Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,0,5,0,7,0,4,0,13,0,48,49 10
Indian Institute of Technology Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,"11 (including ""10"" Supernumerary)",49 10
Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,1,4,0,5,0,3,0,10,1,38,41 5
Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""5"" Supernumerary)",41 5
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,1,3,0,5,1,3,0,9,0,35,36 7
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""7"" Supernumerary)",36 7
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",All India,Gender-Neutral,14,1,4,0,5,0,3,0,9,1,37,45 0
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",45 0
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",All India,Gender-Neutral,18,1,5,0,7,1,3,0,13,1,49,59 0
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),4,0,1,0,1,0,1,0,3,0,"10 (including ""0"" Supernumerary)",59 0
Indian Institute of Technology Kharagpur,"Physics (4 Years, Bachelor of Science)",All India,Gender-Neutral,16,0,4,0,6,0,3,0,10,1,40,49 0
Indian Institute of Technology Kharagpur,"Physics (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),4,0,1,0,1,0,1,0,2,0,"9 (including ""0"" Supernumerary)",49 0
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",All India,Gender-Neutral,22,1,5,1,7,1,4,0,15,1,57,69 0
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),5,1,0,0,2,0,1,0,3,0,"12 (including ""0"" Supernumerary)",69 0
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",All India,Gender-Neutral,16,1,5,0,6,0,3,0,11,1,43,52 0
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),4,0,1,0,1,0,1,0,2,0,"9 (including ""0"" Supernumerary)",52 0
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",All India,Gender-Neutral,14,1,4,0,5,0,3,0,9,1,37,45 0
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",45 0
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",All India,Gender-Neutral,12,1,3,0,4,1,2,0,8,1,32,37 3
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""3"" Supernumerary)",37 3
Indian Institute of Technology Kharagpur,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,8,0,2,0,3,0,1,0,7,0,21,24 2
Indian Institute of Technology Kharagpur,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),3,0,0,0,1,0,0,0,1,0,"5 (including ""2"" Supernumerary)",24 2
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,14,1,4,0,5,0,3,0,9,1,37,42 3
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""3"" Supernumerary)",42 3
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,11,0,3,0,4,0,2,0,8,0,28,32 2
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),3,0,0,0,1,0,1,0,1,0,"6 (including ""2"" Supernumerary)",32 2
Indian Institute of Technology Kharagpur,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,11,1,3,0,5,0,2,0,8,0,30,34 2
Indian Institute of Technology Kharagpur,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""2"" Supernumerary)",34 2
Indian Institute of Technology Kharagpur,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,11,0,2,0,4,0,2,0,7,0,26,27 5
Indian Institute of Technology Kharagpur,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),3,0,0,0,1,0,0,0,2,0,"6 (including ""5"" Supernumerary)",27 5
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,19,1,5,0,7,0,3,0,13,1,49,50 10
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,"11 (including ""10"" Supernumerary)",50 10
Indian Institute of Technology Kharagpur,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,11,0,3,0,4,0,2,0,7,0,27,27 6
Indian Institute of Technology Kharagpur,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),3,0,1,0,1,0,0,0,1,0,"6 (including ""6"" Supernumerary)",27 6
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,19,1,5,0,7,0,3,0,13,1,49,50 10
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,"11 (including ""10"" Supernumerary)",50 10
Indian Institute of Technology Kharagpur,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,23,1,6,0,8,1,4,1,15,1,60,60 13
Indian Institute of Technology Kharagpur,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),5,1,0,0,2,1,1,0,3,0,"13 (including ""13"" Supernumerary)",60 13
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,0,3,0,3,0,2,0,6,0,24,27 2
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),3,0,0,0,1,0,0,0,1,0,"5 (including ""2"" Supernumerary)",27 2
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,9,1,2,0,5,0,2,0,6,0,25,25 6
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),3,0,0,0,1,0,0,0,2,0,"6 (including ""6"" Supernumerary)",25 6
Indian Institute of Technology Kharagpur,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,9,0,2,0,3,0,3,0,6,0,23,24 4
Indian Institute of Technology Kharagpur,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),3,0,0,0,1,0,0,0,1,0,"5 (including ""4"" Supernumerary)",24 4
Indian Institute of Technology Kharagpur,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,9,0,2,0,3,0,1,0,6,0,21,22 4
Indian Institute of Technology Kharagpur,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),3,0,0,0,1,0,0,0,1,0,"5 (including ""4"" Supernumerary)",22 4
Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,1,3,0,5,0,2,0,7,0,28,30 4
Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""4"" Supernumerary)",30 4
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,7,0,2,0,3,0,1,0,5,0,18,19 3
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,"4 (including ""3"" Supernumerary)",19 3
Indian Institute of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,0,3,0,4,1,3,0,9,1,36,45 0
Indian Institute of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,1,0,1,0,2,0,"9 (including ""0"" Supernumerary)",45 0
Indian Institute of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,2,5,0,7,0,4,0,13,0,48,60 0
Indian Institute of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,0,0,1,2,0,1,0,3,0,"12 (including ""0"" Supernumerary)",60 0
Indian Institute of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,8,0,2,0,3,0,2,0,4,1,20,25 0
Indian Institute of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,0,0,1,0,1,0,1,0,"5 (including ""0"" Supernumerary)",25 0
Indian Institute of Technology Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",All India,Gender-Neutral,8,0,2,0,3,0,2,0,4,1,20,25 0
Indian Institute of Technology Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,1,0,"5 (including ""0"" Supernumerary)",25 0
Indian Institute of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",All India,Gender-Neutral,8,0,2,0,3,0,2,0,4,1,20,25 0
Indian Institute of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,1,0,"5 (including ""0"" Supernumerary)",25 0
Indian Institute of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,2,5,0,8,0,4,0,14,0,52,65 0
Indian Institute of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,0,1,0,2,0,1,0,3,1,"13 (including ""0"" Supernumerary)",65 0
Indian Institute of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,2,5,0,7,1,4,0,14,0,52,65 0
Indian Institute of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,0,1,0,2,0,1,0,4,0,"13 (including ""0"" Supernumerary)",65 0
Indian Institute of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,11,0,3,0,3,1,2,0,7,1,28,35 0
Indian Institute of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,0,0,2,0,"7 (including ""0"" Supernumerary)",35 0
Indian Institute of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,9,0,32,40 0
Indian Institute of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,1,1,"8 (including ""0"" Supernumerary)",40 0
Indian Institute of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,8,0,2,0,3,0,0,1,6,0,20,25 0
Indian Institute of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),1,1,1,0,1,0,0,0,1,0,"5 (including ""0"" Supernumerary)",25 0
Indian Institute of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,2,5,0,8,0,4,0,14,0,52,65 0
Indian Institute of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,0,1,0,1,1,1,0,4,0,"13 (including ""0"" Supernumerary)",65 0
Indian Institute of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,11,0,2,1,4,0,1,1,8,0,28,35 0
Indian Institute of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,0,0,2,0,"7 (including ""0"" Supernumerary)",35 0
Indian Institute of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",All India,Gender-Neutral,11,0,3,0,3,1,2,0,8,0,28,35 0
Indian Institute of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,1,1,0,1,0,0,0,2,0,"7 (including ""0"" Supernumerary)",35 0
Indian Institute of Technology Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,7,1,1,1,3,0,2,0,5,0,20,25 0
Indian Institute of Technology Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,0,0,1,0,0,0,2,0,"5 (including ""0"" Supernumerary)",25 0
Indian Institute of Technology Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,8,0,2,0,3,0,2,0,4,1,20,25 0
Indian Institute of Technology Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,1,0,"5 (including ""0"" Supernumerary)",25 0
Indian Institute of Technology Jodhpur,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,4,0,5,1,3,0,10,1,40,50 0
Indian Institute of Technology Jodhpur,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,2,0,"10 (including ""0"" Supernumerary)",50 0
Indian Institute of Technology Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,1,6,0,9,1,5,0,16,1,64,80 0
Indian Institute of Technology Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,1,2,0,3,0,1,0,4,0,"16 (including ""0"" Supernumerary)",80 0
Indian Institute of Technology Jodhpur,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,3,6,0,9,1,5,0,16,2,64,80 0
Indian Institute of Technology Jodhpur,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,1,2,0,2,0,1,0,4,0,"16 (including ""0"" Supernumerary)",80 0
Indian Institute of Technology Jodhpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,26,1,6,0,8,1,5,0,16,1,64,80 0
Indian Institute of Technology Jodhpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,0,2,0,3,0,1,0,4,0,"16 (including ""0"" Supernumerary)",80 0
Indian Institute of Technology Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,4,0,5,1,3,0,10,1,40,50 0
Indian Institute of Technology Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,2,0,"10 (including ""0"" Supernumerary)",50 0
Indian Institute of Technology Jodhpur,"Bio Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,3,1,6,0,3,0,10,1,40,50 0
Indian Institute of Technology Jodhpur,"Bio Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,0,0,0,1,0,1,0,3,0,"10 (including ""0"" Supernumerary)",50 0
Indian Institute of Technology Jodhpur,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,4,0,5,1,3,0,10,1,40,50 0
Indian Institute of Technology Jodhpur,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,2,0,"10 (including ""0"" Supernumerary)",50 0
Indian Institute of Technology Jodhpur,"Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,4,0,5,1,3,0,10,1,40,50 0
Indian Institute of Technology Jodhpur,"Materials Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,2,0,"10 (including ""0"" Supernumerary)",50 0
Indian Institute of Technology Jodhpur,"Physics with Specialization (4 Years, Bachelor of Science)",All India,Gender-Neutral,11,0,2,0,3,0,2,0,6,0,24,24 6
Indian Institute of Technology Jodhpur,"Physics with Specialization (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,0,0,1,0,"6 (including ""6"" Supernumerary)",24 6
Indian Institute of Technology Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)",All India,Gender-Neutral,11,0,2,0,3,0,2,0,6,0,24,24 6
Indian Institute of Technology Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,0,0,1,0,"6 (including ""6"" Supernumerary)",24 6
Indian Institute of Technology Kanpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,21,1,6,0,7,1,4,0,14,1,55,55 14
Indian Institute of Technology Kanpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,0,1,0,2,0,1,0,4,0,"14 (including ""14"" Supernumerary)",55 14
Indian Institute of Technology Kanpur,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,4,0,5,1,2,1,11,0,42,42 11
Indian Institute of Technology Kanpur,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,"11 (including ""11"" Supernumerary)",42 11
Indian Institute of Technology Kanpur,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,33,2,7,1,12,0,6,0,21,1,83,83 21
Indian Institute of Technology Kanpur,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),8,0,2,0,3,0,2,0,5,1,"21 (including ""21"" Supernumerary)",83 21
Indian Institute of Technology Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,45,2,11,1,18,0,8,1,30,2,118,118 30
Indian Institute of Technology Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),12,1,3,0,4,0,2,0,8,0,"30 (including ""30"" Supernumerary)",118 30
Indian Institute of Technology Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,40,2,9,1,14,1,8,0,27,1,103,103 26
Indian Institute of Technology Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),9,1,3,0,4,0,2,0,6,1,"26 (including ""26"" Supernumerary)",103 26
Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,60,3,14,1,22,1,10,1,39,2,153,153 39
Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),14,1,4,0,6,0,3,0,10,1,"39 (including ""39"" Supernumerary)",153 39
Indian Institute of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,27,1,6,1,9,1,5,0,17,1,68,68 17
Indian Institute of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,0,2,0,3,0,1,0,5,0,"17 (including ""17"" Supernumerary)",68 17
Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,46,2,11,1,17,1,8,1,31,1,119,119 30
Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),11,1,3,0,5,0,2,0,7,1,"30 (including ""30"" Supernumerary)",119 30
Indian Institute of Technology Kanpur,"Chemistry (4 Years, Bachelor of Science)",All India,Gender-Neutral,14,1,4,0,6,0,3,0,11,0,39,39 10
Indian Institute of Technology Kanpur,"Chemistry (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),3,1,1,0,2,0,1,0,2,0,"10 (including ""10"" Supernumerary)",39 10
Indian Institute of Technology Kanpur,"Economics (4 Years, Bachelor of Science)",All India,Gender-Neutral,16,1,4,0,5,1,3,0,10,1,41,41 11
Indian Institute of Technology Kanpur,"Economics (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,"11 (including ""11"" Supernumerary)",41 11
Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",All India,Gender-Neutral,19,1,5,0,8,0,4,0,13,1,51,51 13
Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),5,0,1,0,2,0,1,0,3,1,"13 (including ""13"" Supernumerary)",51 13
Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",All India,Gender-Neutral,13,1,4,0,4,1,3,0,10,0,36,36 9
Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),4,0,1,0,1,0,1,0,2,0,"9 (including ""9"" Supernumerary)",36 9
Indian Institute of Technology Kanpur,"Earth Sciences (4 Years, Bachelor of Science)",All India,Gender-Neutral,13,1,3,0,4,1,2,0,10,0,34,34 9
Indian Institute of Technology Kanpur,"Earth Sciences (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),4,0,1,0,1,0,1,0,2,0,"9 (including ""9"" Supernumerary)",34 9
Indian Institute of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",All India,Gender-Neutral,8,1,2,0,3,0,2,0,6,0,22,22 6
Indian Institute of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""6"" Supernumerary)",22 6
Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,1,5,0,7,0,4,0,13,1,50,62 1
Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,0,1,0,2,0,1,0,4,0,"13 (including ""1"" Supernumerary)",62 1
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,35,2,9,1,13,1,6,1,24,1,93,114 3
